msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11612,1016487471,FR035_MR0254R_RJ_0001_NFF,254R,-0.97,-0.60,-1.09
11612,1016487471,FR035_MR0765L_SJ_0007_NFF,765L,0.62,-1.08,-0.51
11612,1016487471,FR035_MR0765R_SJ_0007_NFF,765R,-0.49,0.16,-0.49
11614,1017076439,FR035_MR1292L_SJ_0015_NFF,1292L,-0.51,2.20,1.60
11614,1017076439,FR035_MR1292R_SJ_0015_NFF,1292R,0.51,-0.15,-1.37
11614,1017076439,FR035_MR0254L_RJ_0001_NFF,254L,-0.64,3.12,-2.17
11614,1017076439,FR035_MR0254R_RJ_0001_NFF,254R,-1.08,1.43,-3.02
11614,1017076439,FR035_MR0765L_SJ_0007_NFF,765L,-0.53,1.78,-0.96
11614,1017076439,FR035_MR0765R_SJ_0007_NFF,765R,0.47,0.86,-1.20
11621,1016407069,FR035_MR1292L_SJ_0015_NFF,1292L,-0.08,-0.48,0.10
11621,1016407069,FR035_MR1292R_SJ_0015_NFF,1292R,0.08,-0.93,0.14
11621,1016407069,FR035_MR0254L_RJ_0001_NFF,254L,-0.41,0.59,-0.27
11621,1016407069,FR035_MR0254R_RJ_0001_NFF,254R,-0.16,-0.83,0.41
11621,1016407069,FR035_MR0765L_SJ_0007_NFF,765L,-0.98,-1.06,0.40
11621,1016407069,FR035_MR0765R_SJ_0007_NFF,765R,-0.07,-2.14,0.40
11625,1017343859,FR035_MR1292L_SJ_0015_NFF,1292L,0.07,1.20,0.97
11625,1017343859,FR035_MR1292R_SJ_0015_NFF,1292R,-0.07,-0.62,0.32
11625,1017343859,FR035_MR0254L_RJ_0001_NFF,254L,0.74,0.85,-1.90
11625,1017343859,FR035_MR0254R_RJ_0001_NFF,254R,-0.45,0.03,-2.10
11625,1017343859,FR035_MR0765L_SJ_0007_NFF,765L,0.25,0.04,-0.12
11625,1017343859,FR035_MR0765R_SJ_0007_NFF,765R,-0.89,0.77,0.29
11626,1017140574,FR035_MR1292L_SJ_0015_NFF,1292L,-0.03,0.94,0.82
11626,1017140574,FR035_MR1292R_SJ_0015_NFF,1292R,0.03,-0.82,0.15
11626,1017140574,FR035_MR0254L_RJ_0001_NFF,254L,0.83,0.50,-1.59
